都道府県名,西暦（年）,人口（総数）
福井県,1995.0,826996
山梨県,1995.0,881996
長野県,1995.0,2193984
岐阜県,1995.0,2100315
静岡県,1995.0,3737689
愛知県,1995.0,6868336
三重県,1995.0,1841358
滋賀県,1995.0,1287005
京都府,1995.0,2629592
大阪府,1995.0,8797268
兵庫県,1995.0,5401877
奈良県,1995.0,1430862
和歌山県,1995.0,1080435
鳥取県,1995.0,614929
島根県,1995.0,771441
岡山県,1995.0,1950750
広島県,1995.0,2881748
山口県,1995.0,1555543
徳島県,1995.0,832427
香川県,1995.0,1027006
愛媛県,1995.0,1506700
高知県,1995.0,816704
福岡県,1995.0,4933393
佐賀県,1995.0,884316
長崎県,1995.0,1544934
熊本県,1995.0,1859793
大分県,1995.0,1231306
宮崎県,1995.0,1175819
鹿児島県,1995.0,1794224
沖縄県,1995.0,1273440
北海道,2000.0,5683062
青森県,2000.0,1475728
岩手県,2000.0,1416180
宮城県,2000.0,2365320
秋田県,2000.0,1189279
山形県,2000.0,1244147
福島県,2000.0,2126935
茨城県,2000.0,2985676
栃木県,2000.0,2004817
群馬県,2000.0,2024852
埼玉県,2000.0,6938006
千葉県,2000.0,5926285
東京都,2000.0,12064101
神奈川県,2000.0,8489974
新潟県,2000.0,2475733
富山県,2000.0,1120851
石川県,2000.0,1180977
福井県,2000.0,828944
山梨県,2000.0,888172
長野県,2000.0,2215168
岐阜県,2000.0,2107700
静岡県,2000.0,3767393
愛知県,2000.0,7043300
三重県,2000.0,1857339
滋賀県,2000.0,1342832
京都府,2000.0,2644391
大阪府,2000.0,8805081
兵庫県,2000.0,5550574
奈良県,2000.0,1442795
和歌山県,2000.0,1069912
鳥取県,2000.0,613289
島根県,2000.0,761503
岡山県,2000.0,1950828
広島県,2000.0,2878915
山口県,2000.0,1527964
徳島県,2000.0,824108
香川県,2000.0,1022890
愛媛県,2000.0,1493092
高知県,2000.0,813949
福岡県,2000.0,5015699
佐賀県,2000.0,876654
長崎県,2000.0,1516523
熊本県,2000.0,1859344
大分県,2000.0,1221140
宮崎県,2000.0,1170007
鹿児島県,2000.0,1786194
沖縄県,2000.0,1318220
北海道,2005.0,5627737
青森県,2005.0,1436657
岩手県,2005.0,1385041
宮城県,2005.0,2360218
秋田県,2005.0,1145501
山形県,2005.0,1216181
福島県,2005.0,2091319
茨城県,2005.0,2975167
栃木県,2005.0,2016631
群馬県,2005.0,2024135
埼玉県,2005.0,7054243
千葉県,2005.0,6056462
東京都,2005.0,12576601
神奈川県,2005.0,8791597
新潟県,2005.0,2431459
富山県,2005.0,1111729
石川県,2005.0,1174026
福井県,2005.0,821592
山梨県,2005.0,884515
長野県,2005.0,2196114
岐阜県,2005.0,2107226
静岡県,2005.0,3792377
愛知県,2005.0,7254704
三重県,2005.0,1866963
滋賀県,2005.0,1380361
京都府,2005.0,2647660
大阪府,2005.0,8817166
兵庫県,2005.0,5590601
奈良県,2005.0,1421310
和歌山県,2005.0,1035969
鳥取県,2005.0,607012
島根県,2005.0,742223
岡山県,2005.0,1957264
広島県,2005.0,2876642
山口県,2005.0,1492606
徳島県,2005.0,809950
香川県,2005.0,1012400
愛媛県,2005.0,1467815
高知県,2005.0,796292
福岡県,2005.0,5049908
佐賀県,2005.0,866369
長崎県,2005.0,1478632
熊本県,2005.0,1842233
大分県,2005.0,1209571
宮崎県,2005.0,1153042
鹿児島県,2005.0,1753179
沖縄県,2005.0,1361594
北海道,2010.0,5506419
青森県,2010.0,1373339
岩手県,2010.0,1330147
宮城県,2010.0,2348165
秋田県,2010.0,1085997
山形県,2010.0,1168924
福島県,2010.0,2029064
茨城県,2010.0,2969770
栃木県,2010.0,2007683
群馬県,2010.0,2008068
埼玉県,2010.0,7194556
千葉県,2010.0,6216289
東京都,2010.0,13159388
神奈川県,2010.0,9048331
新潟県,2010.0,2374450
富山県,2010.0,1093247
石川県,2010.0,1169788
福井県,2010.0,806314
山梨県,2010.0,863075
長野県,2010.0,2152449
岐阜県,2010.0,2080773
静岡県,2010.0,3765007
愛知県,2010.0,7410719
三重県,2010.0,1854724
滋賀県,2010.0,1410777
京都府,2010.0,2636092
大阪府,2010.0,8865245
兵庫県,2010.0,5588133
奈良県,2010.0,1400728
和歌山県,2010.0,1002198
鳥取県,2010.0,588667
島根県,2010.0,717397
岡山県,2010.0,1945276
広島県,2010.0,2860750
山口県,2010.0,1451338
徳島県,2010.0,785491
